1012,  6406,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0875125.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0376875,  6,  0.0875125,  11,  14,  2,  0.0376875,  0.6, 
1012,  6449,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0875125.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0376875,  6,  0.0875125,  11,  14,  2,  0.0376875,  0.6, 
1012,  6483,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0875125.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0376875,  6,  0.0875125,  11,  14,  2,  0.0376875,  1.0, 
1012,  6510,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0667.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0667666666667,  6,  0.0667,  10,  13,  4,  0.0667666666667,  0.6, 
1012,  6550,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0667.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0667666666667,  6,  0.0667,  10,  13,  4,  0.0667666666667,  0.6, 
1012,  6577,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0667.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0667666666667,  6,  0.0667,  10,  13,  4,  0.0667666666667,  1.0, 
1012,  6593,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:47,  1,  modelParams|clParams|alpha_0.0425575.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0925225,  6,  0.0425575,  10,  12,  5,  0.0925225,  0.6, 
1012,  6634,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:47,  1,  modelParams|clParams|alpha_0.0425575.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0925225,  6,  0.0425575,  10,  12,  5,  0.0925225,  0.6, 
1012,  6651,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:47,  0,  modelParams|clParams|alpha_0.0425575.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0925225,  6,  0.0425575,  10,  12,  5,  0.0925225,  1.0, 
1012,  6688,  completed,  eof,  2014-05-02 04:42:47,  2014-05-02 04:42:47,  0,  modelParams|clParams|alpha_0.0818363636364.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.0184272727273,  6,  0.0818363636364,  11,  15,  1,  0.0184272727273,  0.6, 
